Treatment Month,HSC Trust,% treated within 62 days,,,,,,
Aug-16,South Eastern,47.7,,,,,,
Aug-16,Southern,78.0,,,,,,
Aug-16,Western,87.2,,,,,,
Sep-16,Belfast,59.9,,,,,,
Sep-16,Northern,70.7,,,,,,
Sep-16,South Eastern,35.8,,,,,,
Sep-16,Southern,82.0,,,,,,
Sep-16,Western,77.9,,,,,,
Oct-16,Belfast,59.5,,,,,,
Oct-16,Northern,69.4,,,,,,
Oct-16,South Eastern,33.6,,,,,,
Oct-16,Southern,87.8,,,,,,
Oct-16,Western,86.5,,,,,,
Nov-16,Belfast,65.1,,,,,,
Nov-16,Northern,71.6,,,,,,
Nov-16,South Eastern,38.1,,,,,,
Nov-16,Southern,83.3,,,,,,
Nov-16,Western,84.6,,,,,,
Dec-16,Belfast,63.4,,,,,,
Dec-16,Northern,68.8,,,,,,
Dec-16,South Eastern,43.8,,,,,,
Dec-16,Southern,90.9,,,,,,
Dec-16,Western,82.4,,,,,,
Jan-17,Belfast,56.2,,,,,,
Jan-17,Northern,67.6,,,,,,
Jan-17,South Eastern,44.6,,,,,,
Jan-17,Southern,85.7,,,,,,
Jan-17,Western,93.8,,,,,,
Feb-17,Belfast,59.0,,,,,,
Feb-17,Northern,79.0,,,,,,
Feb-17,South Eastern,54.6,,,,,,
Feb-17,Southern,80.0,,,,,,
Feb-17,Western,92.0,,,,,,
Mar-17,Belfast,56.5,,,,,,
Mar-17,Northern,76.2,,,,,,
Mar-17,South Eastern,55.3,,,,,,
Mar-17,Southern,81.7,,,,,,
Mar-17,Western,89.3,,,,,,
Apr-17,Belfast,56.2,,,,,,
Apr-17,Northern,72.5,,,,,,
Apr-17,South Eastern,50.4,,,,,,
Apr-17,Southern,84.3,,,,,,
Apr-17,Western,94.3,,,,,,
May-17,Belfast,62.1,,,,,,
May-17,Northern,70.2,,,,,,
May-17,South Eastern,53.8,,,,,,
May-17,Southern,76.2,,,,,,
May-17,Western,84.4,,,,,,
Jun-17,Belfast,63.2,,,,,,
Jun-17,Northern,77.8,,,,,,
Jun-17,South Eastern,55.7,,,,,,
Jun-17,Southern,69.1,,,,,,
Jun-17,Western,89.6,,,,,,
Jul-17,Belfast,54.0,,,,,,
Jul-17,Northern,68.3,,,,,,
Jul-17,South Eastern,51.5,,,,,,
Jul-17,Southern,67.0,,,,,,
Jul-17,Western,84.4,,,,,,
Aug-17,Belfast,51.4,,,,,,
Aug-17,Northern,67.7,,,,,,
Aug-17,South Eastern,50.9,,,,,,
Aug-17,Southern,71.9,,,,,,
Aug-17,Western,88.3,,,,,,
Sep-17,Belfast,50.5,,,,,,
Sep-17,Northern,69.4,,,,,,
Sep-17,South Eastern,42.9,,,,,,
Sep-17,Southern,72.2,,,,,,
Sep-17,Western,87.5,,,,,,
Oct-17,Belfast,65.6,,,,,,
Oct-17,Northern,74.4,,,,,,
Oct-17,South Eastern,48.5,,,,,,
Oct-17,Southern,69.3,,,,,,
Oct-17,Western,88.7,,,,,,
Nov-17,Belfast,56.5,,,,,,
Nov-17,Northern,73.8,,,,,,
Nov-17,South Eastern,44.1,,,,,,
Nov-17,Southern,74.8,,,,,,
Nov-17,Western,91.7,,,,,,
Dec-17,Belfast,55.8,,,,,,
Dec-17,Northern,73.6,,,,,,
Dec-17,South Eastern,55.0,,,,,,
Dec-17,Southern,75.0,,,,,,
Dec-17,Western,89.2,,,,,,
Jan-18,Belfast,56.0,,,,,,
Jan-18,Northern,73.3,,,,,,
Jan-18,South Eastern,55.2,,,,,,
Jan-18,Southern,68.0,,,,,,
Jan-18,Western,91.2,,,,,,
Feb-18,Belfast,59.9,,,,,,
Feb-18,Northern,69.5,,,,,,
Feb-18,South Eastern,53.5,,,,,,
Feb-18,Southern,77.7,,,,,,
Feb-18,Western,87.3,,,,,,
Mar-18,Belfast,68.0,,,,,,
Mar-18,Northern,87.1,,,,,,
Mar-18,South Eastern,62.9,,,,,,
Mar-18,Southern,86.2,,,,,,
Mar-18,Western,84.7,,,,,,
Apr-18,Belfast,60.3,,,,,,
Apr-18,Northern,72.4,,,,,,
Apr-18,South Eastern,57.8,,,,,,
Apr-18,Southern,69.4,,,,,,
Apr-18,Western,90.8,,,,,,
May-18,Belfast,54.3,,,,,,
May-18,Northern,76.0,,,,,,
May-18,South Eastern,60.8,,,,,,
May-18,Southern,74.2,,,,,,
