Month Seen,HSC Trust,% seen within 14 days,,,,
Feb-17,Belfast,100.0,,,,
Feb-17,Northern,95.0,,,,
Feb-17,South Eastern,95.3,,,,
Feb-17,Southern,38.3,,,,
Feb-17,Western,99.6,,,,
Mar-17,Belfast,99.7,,,,
Mar-17,Northern,84.5,,,,
Mar-17,South Eastern,100.0,,,,
Mar-17,Southern,18.2,,,,
Mar-17,Western,100.0,,,,
Apr-17,Belfast,100.0,,,,
Apr-17,Northern,67.6,,,,
Apr-17,South Eastern,100.0,,,,
Apr-17,Southern,19.3,,,,
Apr-17,Western,100.0,,,,
May-17,Belfast,100.0,,,,
May-17,Northern,95.0,,,,
May-17,South Eastern,100.0,,,,
May-17,Southern,20.5,,,,
May-17,Western,100.0,,,,
Jun-17,Belfast,99.6,,,,
Jun-17,Northern,93.6,,,,
Jun-17,South Eastern,97.7,,,,
Jun-17,Southern,22.2,,,,
Jun-17,Western,100.0,,,,
Jul-17,Belfast,91.2,,,,
Jul-17,Northern,99.6,,,,
Jul-17,South Eastern,99.5,,,,
Jul-17,Southern,15.9,,,,
Jul-17,Western,100.0,,,,
Aug-17,Belfast,89.2,,,,
Aug-17,Northern,96.5,,,,
Aug-17,South Eastern,100.0,,,,
Aug-17,Southern,21.3,,,,
Aug-17,Western,100.0,,,,
Sep-17,Belfast,71.3,,,,
Sep-17,Northern,98.7,,,,
Sep-17,South Eastern,100.0,,,,
Sep-17,Southern,18.0,,,,
Sep-17,Western,92.3,,,,
Oct-17,Belfast,99.7,,,,
Oct-17,Northern,99.3,,,,
Oct-17,South Eastern,92.1,,,,
Oct-17,Southern,21.8,,,,
Oct-17,Western,100.0,,,,
Nov-17,Belfast,100.0,,,,
Nov-17,Northern,71.4,,,,
Nov-17,South Eastern,100.0,,,,
Nov-17,Southern,21.7,,,,
Nov-17,Western,98.6,,,,
Dec-17,Belfast,100.0,,,,
Dec-17,Northern,47.8,,,,
Dec-17,South Eastern,99.5,,,,
Dec-17,Southern,67.2,,,,
Dec-17,Western,99.2,,,,
Jan-18,Belfast,99.3,,,,
Jan-18,Northern,93.4,,,,
Jan-18,South Eastern,98.3,,,,
Jan-18,Southern,98.0,,,,
Jan-18,Western,100.0,,,,
Feb-18,Belfast,100.0,,,,
Feb-18,Northern,100.0,,,,
Feb-18,South Eastern,100.0,,,,
Feb-18,Southern,98.8,,,,
Feb-18,Western,100.0,,,,
Mar-18,Belfast,100.0,,,,
Mar-18,Northern,100.0,,,,
Mar-18,South Eastern,100.0,,,,
Mar-18,Southern,100.0,,,,
Mar-18,Western,100.0,,,,
Apr-18,Belfast,100.0,,,,
Apr-18,Northern,100.0,,,,
Apr-18,South Eastern,100.0,,,,
Apr-18,Southern,99.6,,,,
Apr-18,Western,100.0,,,,
May-18,Belfast,100.0,,,,
May-18,Northern,84.3,,,,
May-18,South Eastern,100.0,,,,
May-18,Southern,98.8,,,,
May-18,Western,100.0,,,,
Jun-18,Belfast,100.0,,,,
Jun-18,Northern,80.6,,,,
Jun-18,South Eastern,99.5,,,,
Jun-18,Southern,97.6,,,,
Jun-18,Western,98.9,,,,
Jul-18,Belfast,100.0,,,,
Jul-18,Northern,59.2,,,,
Jul-18,South Eastern,100.0,,,,
Jul-18,Southern,97.9,,,,
Jul-18,Western,100.0,,,,
Aug-18,Belfast,100.0,,,,
Aug-18,Northern,19.2,,,,
Aug-18,South Eastern,100.0,,,,
Aug-18,Southern,100.0,,,,
Aug-18,Western,100.0,,,,
Sep-18,Belfast,100.0,,,,
Sep-18,Northern,11.9,,,,
Sep-18,South Eastern,100.0,,,,
